No.,名称,住所,緯度,経度,フロア,設置場所,利用可能日時 - 日,利用可能日時 - 月,利用可能日時 - 火,利用可能日時 - 水,利用可能日時 - 木,利用可能日時 - 金,利用可能日時 - 土,利用可能日時 - 祝日,小児対応AED,備考,写真
66,金沢城公園案内所,,,,なし,案内所,"3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00","3/1〜10/15　7：00〜18：0010/16〜2/末日　8:00〜17:00",不明,他数か所（4か所）ある,
67,しいのき迎賓館1Fインフォメーション,,,,1F,インフォメーション,9:00〜22:00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,あり,キューマスク設置検討,
68,金沢能楽美術館１F受付右奥トイレ手前,,,,1F,受付右奥トイレ手前,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,8:30〜18:00,あり,ハサミはフロントにあり,
69,21世紀美術館1F事務室横通路の奥,,,,1F,事務所横通路の奥,9:00〜22:00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,9：00〜22：00,不可,あり,関係者以外立ち入り禁止区域,
70,金沢ふるさと偉人館1F受付左エレベーター前,,,,1F,受付左エレベーター前,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,9:30〜17:00,不明,12/29〜1/3休館,
71,県立美術館1F受付,,,,1F,受付,9:30〜19:00,9:30〜19:00,9:30〜19:00,9:30〜19:00,9:30〜19:00,9:30〜19:00,9:30〜19:00,9:30〜19:00,なし,,
72,石川県立歴史博物館総合案内2棟,,,,1F,総合案内2棟,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,なし,展示物入れ替え時期は休み,
73,あんと1Fインフォメーション,,,,1F,インフォメーション,8:30〜20:00,8:30〜20:00,8:30〜20:00,8:30〜20:00,8:30〜20:00,8:30〜20:00,8:30〜20:00,8:30〜20:00,あり,インフォメーションスタッフに一声,
74,ヴィアイン金沢3F事務所,,,,3F,事務所,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,0:00〜6:00は入口施錠、インターホンで解錠,
75,ライフ金沢第１ビル3Fフェアリークリニック,,,,3F,フェアリークリニック,10:00〜15:00,10:00〜18:00,10:00〜18:00,10:00〜18:00,10:00〜18:00,10:00〜18:00,10:00〜18:00,10:00〜15:00,不明,,
76,此花会館1F公民館入口,,,,1F,公民館入口,,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,9:00〜17:00,,,あり,土日祝日開いていることもある,
77,金沢福祉用具情報プラザ1F,,,,1F,,10:00〜19:00,10:00〜19:00,不可,10:00〜19:00,10:00〜19:00,10:00〜19:00,10:00〜19:00,10:00〜19:00,あり,,
78,朱鷺の苑やわらぎ1Fデイサービスセンター,,,,1F,デイサービスセンター,5:30〜19:30,5:30〜19:30,5:30〜19:30,5:30〜19:30,5:30〜19:30,5:30〜19:30,5:30〜19:30,5:30〜19:30,なし,スタッフに一声,
79,HOTELL MYSTAYS,,,,,,,,,,,,,,,AEDなし,
80,ホテルエコノ金沢1F受付横,,,,1F,受付横,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,なし,,
